db_key	db_family	db_variant	db_version	region	qiime_release	qiime_version	qiime_env_name	sklearn_version	training_type	status	classifier_file	classifier_path	notes
gg2_2024_09	gg2	backbone	2024.09	full-length	2024.1	2024.10.1	qiime2-2024.10	1.4.2	self-trained	active	gg2.2024.09.backbone.full-length.nb.qza	/home/adprc/classifier/gg2/trained/qiime2-2024.10/gg2.2024.09.backbone.full-length.nb.qza	
gg2_2024_09	gg2	backbone	2024.09	V3V4	2024.1	2024.10.1	qiime2-2024.10	1.4.2	self-trained	active	gg2_2024_09_backbone_NB_classifier_V3V4.qza	/home/adprc/classifier/gg2/trained/qiime2-2024.10/gg2_2024_09_backbone_NB_classifier_V3V4.qza	
gg2_2024_09	gg2	backbone	2024.09	V3	2024.1	2024.10.1	qiime2-2024.10	1.4.2	self-trained	active	gg2_2024_09_backbone_NB_classifier_V3_len200.qza	/home/adprc/classifier/gg2/trained/qiime2-2024.10/gg2_2024_09_backbone_NB_classifier_V3_len200.qza	
gg2_2024_09	gg2	backbone	2024.09	V4	2024.1	2024.10.1	qiime2-2024.10	1.4.2	self-trained	active	gg2_2024_09_backbone_NB_classifier_V4_len250.qza	/home/adprc/classifier/gg2/trained/qiime2-2024.10/gg2_2024_09_backbone_NB_classifier_V4_len250.qza	
gg2_2022_10	gg2	backbone	2022.1	full-length	2024.1	2024.10.1	qiime2-2024.10	1.4.2	self-trained	active	gg2.2022.10.backbone.full-length.nb.qza	/home/adprc/classifier/gg2/trained/qiime2-2024.10/gg2.2022.10.backbone.full-length.nb.qza	
gg2_2022_10	gg2	backbone	2022.1	V3V4	2024.1	2024.10.1	qiime2-2024.10	1.4.2	self-trained	active	gg2_2022_10_backbone_NB_classifier_V3V4.qza	/home/adprc/classifier/gg2/trained/qiime2-2024.10/gg2_2022_10_backbone_NB_classifier_V3V4.qza	
gg2_2022_10	gg2	backbone	2022.1	V3	2024.1	2024.10.1	qiime2-2024.10	1.4.2	self-trained	active	gg2_2022_10_backbone_NB_classifier_V3_len200.qza	/home/adprc/classifier/gg2/trained/qiime2-2024.10/gg2_2022_10_backbone_NB_classifier_V3_len200.qza	
gg2_2022_10	gg2	backbone	2022.1	V4	2024.1	2024.10.1	qiime2-2024.10	1.4.2	self-trained	active	gg2_2022_10_backbone_NB_classifier_V4_len250.qza	/home/adprc/classifier/gg2/trained/qiime2-2024.10/gg2_2022_10_backbone_NB_classifier_V4_len250.qza	
gg_13_8	gg	otu99	13_8	full-length	2024.1	2024.10.1	qiime2-2024.10	1.4.2	self-trained	active	gg_13_8_99_NB_classifier_full-length.qza	/home/adprc/classifier/gg/trained/qiime2-2024.10/gg_13_8_99_NB_classifier_full-length.qza	
gg_13_8	gg	otu99	13_8	V3V4	2024.1	2024.10.1	qiime2-2024.10	1.4.2	self-trained	active	gg_13_8_99_NB_classifier_V3V4.qza	/home/adprc/classifier/gg/trained/qiime2-2024.10/gg_13_8_99_NB_classifier_V3V4.qza	
gg_13_8	gg	otu99	13_8	V3	2024.1	2024.10.1	qiime2-2024.10	1.4.2	self-trained	active	gg_13_8_99_NB_classifier_V3_len200.qza	/home/adprc/classifier/gg/trained/qiime2-2024.10/gg_13_8_99_NB_classifier_V3_len200.qza	
gg_13_8	gg	otu99	13_8	V4	2024.1	2024.10.1	qiime2-2024.10	1.4.2	self-trained	active	gg_13_8_99_NB_classifier_V4_len250.qza	/home/adprc/classifier/gg/trained/qiime2-2024.10/gg_13_8_99_NB_classifier_V4_len250.qza	
silva_138	silva	nr99	138	full-length	2024.1	2024.10.1	qiime2-2024.10	1.4.2	self-trained	testing	silva_138_99_NB_classifier_full-length.qza	/home/adprc/classifier/SILVA/trained/qiime2-2024.10/silva_138_99_NB_classifier_full-length.qza	
silva_138	silva	nr99	138	V3V4	2024.1	2024.10.1	qiime2-2024.10	1.4.2	self-trained	testing	silva_138_99_NB_classifier_V3V4.qza	/home/adprc/classifier/SILVA/trained/qiime2-2024.10/silva_138_99_NB_classifier_V3V4.qza	
silva_138	silva	nr99	138	V3	2024.1	2024.10.1	qiime2-2024.10	1.4.2	self-trained	testing	silva_138_99_NB_classifier_V3_len200.qza	/home/adprc/classifier/SILVA/trained/qiime2-2024.10/silva_138_99_NB_classifier_V3_len200.qza	
silva_138	silva	nr99	138	V4	2024.1	2024.10.1	qiime2-2024.10	1.4.2	self-trained	testing	silva_138_99_NB_classifier_V4_len250.qza	/home/adprc/classifier/SILVA/trained/qiime2-2024.10/silva_138_99_NB_classifier_V4_len250.qza	
silva_dada2_zenodo_138_2	silva	dada2_zenodo	138.2	full-length	2024.1	2024.10.1	qiime2-2024.10	1.4.2	self-trained	testing	silva_dada2_zenodo_138.2_NB_classifier_full-length.qza	/home/adprc/classifier/SILVA/trained/qiime2-2024.10/silva_dada2_zenodo_138.2_NB_classifier_full-length.qza	
silva_dada2_zenodo_138_2	silva	dada2_zenodo	138.2	V3V4	2024.1	2024.10.1	qiime2-2024.10	1.4.2	self-trained	testing	silva_dada2_zenodo_138.2_NB_classifier_V3V4.qza	/home/adprc/classifier/SILVA/trained/qiime2-2024.10/silva_dada2_zenodo_138.2_NB_classifier_V3V4.qza	
silva_dada2_zenodo_138_2	silva	dada2_zenodo	138.2	V3	2024.1	2024.10.1	qiime2-2024.10	1.4.2	self-trained	testing	silva_dada2_zenodo_138.2_NB_classifier_V3_len200.qza	/home/adprc/classifier/SILVA/trained/qiime2-2024.10/silva_dada2_zenodo_138.2_NB_classifier_V3_len200.qza	
silva_dada2_zenodo_138_2	silva	dada2_zenodo	138.2	V4	2024.1	2024.10.1	qiime2-2024.10	1.4.2	self-trained	testing	silva_dada2_zenodo_138.2_NB_classifier_V4_len250.qza	/home/adprc/classifier/SILVA/trained/qiime2-2024.10/silva_dada2_zenodo_138.2_NB_classifier_V4_len250.qza	
gg_13_8	gg	otu99	13_8	full-length	2023.2	2023.2.0	qiime2-2023.2	0.24.1	self-trained	testing	gg_13_8_99_NB_classifier_full-length.qza	/home/adprc/classifier/gg/trained/qiime2-2023.2/gg_13_8_99_NB_classifier_full-length.qza	
gg_13_8	gg	otu99	13_8	V3V4	2023.2	2023.2.0	qiime2-2023.2	0.24.1	self-trained	testing	gg_13_8_99_NB_classifier_V3V4.qza	/home/adprc/classifier/gg/trained/qiime2-2023.2/gg_13_8_99_NB_classifier_V3V4.qza	
gg_13_8	gg	otu99	13_8	V3	2023.2	2023.2.0	qiime2-2023.2	0.24.1	self-trained	testing	gg_13_8_99_NB_classifier_V3_len200.qza	/home/adprc/classifier/gg/trained/qiime2-2023.2/gg_13_8_99_NB_classifier_V3_len200.qza	
gg_13_8	gg	otu99	13_8	V4	2023.2	2023.2.0	qiime2-2023.2	0.24.1	self-trained	testing	gg_13_8_99_NB_classifier_V4_len250.qza	/home/adprc/classifier/gg/trained/qiime2-2023.2/gg_13_8_99_NB_classifier_V4_len250.qza	
gg2_2022_10	gg2	backbone	2022.1	full-length	2023.2	2023.2.0	qiime2-2023.2	0.24.1	self-trained	testing	gg2.2022.10.backbone.full-length.nb.qza	/home/adprc/classifier/gg2/trained/qiime2-2023.2/gg2.2022.10.backbone.full-length.nb.qza	
gg2_2022_10	gg2	backbone	2022.1	V3V4	2023.2	2023.2.0	qiime2-2023.2	0.24.1	self-trained	testing	gg2_2022_10_backbone_NB_classifier_V3V4.qza	/home/adprc/classifier/gg2/trained/qiime2-2023.2/gg2_2022_10_backbone_NB_classifier_V3V4.qza	
